S89,S90
S64,S90
S31,S90
S59,S90
S66,S90
S65,S90
S1,S90
S67,S89
S64,S89
S62,S89
S31,S89
S61,S89
S12,S89
S59,S89
S23,S89
S66,S89
S65,S89
S1,S89
S26,S89
S30,S89
S57,S89
S73,S88
S43,S88
S16,S88
S45,S88
S15,S88
S78,S87
S82,S87
S84,S86
S34,S86
S85,S86
S84,S85
S34,S84
S45,S83
S15,S83
S42,S83
S14,S83
S76,S82
S76,S81
S74,S81
S11,S81
S80,S81
S76,S80
S74,S80
S11,S80
S79,S80
S39,S80
S21,S80
S38,S80
S36,S80
S76,S79
S11,S79
S39,S79
S21,S79
S38,S79
S10,S79
S36,S79
S9,S79
S76,S78
S77,S78
S76,S77
S74,S76
S39,S76
S21,S76
S36,S76
S9,S76
S75,S76
S74,S75
S11,S74
S39,S74
S21,S74
S9,S74
S16,S73
S15,S73
S19,S73
S1,S72
S71,S72
S70,S72
S69,S72
S68,S72
S1,S71
S70,S71
S69,S71
S68,S71
S1,S70
S69,S70
S68,S70
S1,S69
S68,S69
S1,S68
S64,S67
S62,S67
S31,S67
S61,S67
S12,S67
S23,S67
S66,S67
S1,S67
S26,S67
S30,S67
S57,S67
S63,S67
S60,S67
S64,S66
S62,S66
S31,S66
S12,S66
S59,S66
S65,S66
S1,S66
S26,S66
S30,S66
S57,S66
S60,S66
S31,S65
S12,S65
S1,S65
S26,S65
S30,S65
S60,S65
S62,S64
S31,S64
S61,S64
S12,S64
S59,S64
S23,S64
S1,S64
S26,S64
S30,S64
S57,S64
S63,S64
S60,S64
S58,S64
S62,S63
S31,S63
S61,S63
S12,S63
S23,S63
S1,S63
S26,S63
S30,S63
S57,S63
S60,S63
S58,S63
S31,S62
S61,S62
S12,S62
S59,S62
S23,S62
S1,S62
S26,S62
S30,S62
S57,S62
S60,S62
S58,S62
S31,S61
S12,S61
S23,S61
S1,S61
S26,S61
S30,S61
S57,S61
S60,S61
S58,S61
S31,S60
S12,S60
S59,S60
S23,S60
S1,S60
S26,S60
S30,S60
S57,S60
S58,S60
S31,S59
S1,S59
S30,S59
S57,S59
S58,S59
S31,S58
S12,S58
S23,S58
S1,S58
S26,S58
S30,S58
S57,S58
S31,S57
S12,S57
S23,S57
S1,S57
S26,S57
S30,S57
S52,S56
S55,S56
S52,S55
S52,S54
S52,S53
S50,S51
S49,S51
S48,S51
S47,S51
S46,S51
S49,S50
S48,S50
S47,S50
S46,S50
S48,S49
S47,S49
S46,S49
S47,S48
S46,S48
S46,S47
S43,S45
S16,S45
S14,S45
S41,S45
S44,S45
S41,S44
S43,S44
S16,S44
S23,S44
S15,S44
S40,S44
S16,S43
S15,S43
S40,S43
S1,S42
S40,S42
S16,S41
S19,S41
S17,S41
S12,S40
S17,S40
S11,S39
S21,S39
S38,S39
S10,S39
S9,S39
S37,S39
S21,S38
S10,S38
S9,S38
S37,S38
S11,S37
S21,S37
S10,S37
S36,S37
S11,S36
S21,S36
S34,S35
S33,S35
S33,S34
S32,S33
S12,S31
S23,S31
S1,S31
S26,S31
S30,S31
S5,S31
S12,S30
S23,S30
S1,S30
S26,S30
S5,S30
S27,S29
S28,S29
S27,S28
S12,S26
S23,S26
S1,S26
S5,S26
S25,S26
S12,S25
S23,S25
S1,S25
S5,S25
S24,S25
S22,S25
S12,S24
S23,S24
S1,S24
S5,S24
S22,S24
S12,S23
S1,S23
S5,S23
S22,S23
S12,S22
S1,S22
S5,S22
S11,S21
S10,S21
S9,S21
S20,S21
S11,S20
S9,S20
S16,S19
S17,S19
S18,S19
S16,S18
S17,S18
S16,S17
S15,S17
S1,S16
S15,S16
S14,S16
S13,S16
S13,S15
S13,S14
S1,S12
S5,S12
S9,S11
S8,S11
S8,S10
S8,S9
S6,S7
S1,S5
S4,S5
S3,S4
S1,S4
S2,S4
S1,S3
S2,S3
S1,S2
